id,sentence,e1_pos,e2_pos,relation,label
1814,"the restructuring charge was comprised of 11 9 million of cash expenditures for severance benefits and other costs and 8 2 million of non cash charges , primarily for the write down of impaired assets",2,11,"Component-Whole(e2,e1)",12
1815,well i know quite a few people who get dissatisfaction from laughing at retards,9,11,"Cause-Effect(e2,e1)",10
1816,works in this exhibition investigate humanity 's relationship with the world,0,7,"Message-Topic(e1,e2)",1
1817,the bush administration hid the true fiscal picture with a plethora of accounting gimmicks,2,13,"Instrument-Agency(e2,e1)",6
1818,adenosine deaminase converts purine riboside into an analog of a reactive intermediate,0,7,Other,0
1819,nectar is the sweet flower sap that bees make into honey by evaporating off the excess water,7,10,"Product-Producer(e2,e1)",4
1820,"as time passed , aluminum formed itself into a can , a lid , and a tab",4,9,Other,0
1821,they still store the bottle in a chilling bucket or the refrigerator,4,8,"Content-Container(e1,e2)",17
1822,the 08 campaign green jobs was the main talking point of any speech,4,12,"Message-Topic(e2,e1)",2
1823,a surfside man running away from a dog that broke away from its owner was struck by a bus in the chase,7,13,"Entity-Origin(e1,e2)",13
1824,"the banker , who has put up in a sudder street hotel , told the sleuths that he had entered india on october 20 , 2009",1,11,"Product-Producer(e2,e1)",4
1825,the artists carve away the surface with a chisel,1,8,"Instrument-Agency(e2,e1)",6
1826,immigrants accounted for more than half of britain 's population growth in recent years,0,9,"Cause-Effect(e1,e2)",9
1827,"this marmalade is made of the finest oranges , to create a delecious taste",1,7,"Entity-Origin(e1,e2)",13
1828,iraqi soldiers inspect the damage after the explosion in a school in baghdad,4,7,"Cause-Effect(e2,e1)",10
1829,"sam , who formerly was a sportsman , and in his apprenticeship used to frequent barnet races , keeps a high chaise , with a brace of seasoned geldings",25,28,"Member-Collection(e2,e1)",16
1830,"the cartoons originated in denmark 's jyllands posten paper and have been reprinted in newspapers in france , germany , italy , hungary , the netherlands and spain who say they were exercising their right to free speech",1,7,"Entity-Origin(e1,e2)",13
1831,a more coded reproof came from the chairman of parliament 's foreign affairs committee,3,7,"Product-Producer(e1,e2)",3
1832,the grenade was inside a tin alongside the hotel fence,1,5,"Content-Container(e1,e2)",17
1833,the principal has put computers into our classroom,4,7,"Entity-Destination(e1,e2)",7
1834,olive garden is a family of local restaurants focused on delighting every guest with a genuine italian dining experience,4,7,"Member-Collection(e2,e1)",16
1835,the computer mouse has been the input device of choice for a long time now in the computer world,1,2,"Component-Whole(e2,e1)",12
1836,the rule is the subject of a legal challenge brought by abc and its coalition partners,1,7,Other,0
1837,"throughout her career she has worked extensively with the california department of education and the commission on teacher credentialing where she has been a contributing panel member on the writing of the california subject examination for teachers \( cset \) , the california music standards , and the caltpa , the california teacher preparation assessment , as well as an evaluator for the single subject music preparation submission documents",25,26,"Member-Collection(e2,e1)",16
1838,for example the steppingmotor has a coil with a resistance of 5 ohm and a nominal current of 1 amp,3,6,"Component-Whole(e2,e1)",12
1839,it is a literary style which portrays crime and violence in an unsentimental way,4,7,Other,0
1840,the cutting machine contains 13 circular blades mounted on a cutting axis,2,6,"Component-Whole(e2,e1)",12
1841,the 25 member steering committee that drafted the document also passed it through two palestinian gfm organizers,3,7,"Product-Producer(e2,e1)",4
1842,"the student guide , consisting of a list and description of courses offered by each faculty , is published on the website of the university",2,21,"Component-Whole(e1,e2)",11
1843,"in other words such people accept a form of mathematical platonists , whether or not they label themselves that way",7,10,Other,0
1844,the book created a picture of social and religious identity,1,9,"Message-Topic(e1,e2)",1
1845,so this morning started early with a chorus of caws coming from a storytelling of crows outside my bedroom window,13,15,"Member-Collection(e2,e1)",16
1846,that paper received favorable review,1,4,"Message-Topic(e2,e1)",2
1847,he was wearing a short sleeve shirt with a tie,5,6,"Component-Whole(e1,e2)",11
1848,the nepalese government sets up a committee to inquire into the alleged misuse of diplomatic passports,6,12,Other,0
1849,the investigation was concerning a series of letters received at the house containing non noxious white powder,1,5,Other,0
1850,"upon the arrival of an embassy from the injured to demand satisfaction , romulus decided that those who had done the injury should be delivered up",5,8,"Entity-Origin(e1,e2)",13
1851,industries have pushed fishermen into fragile marine reserves,3,7,"Entity-Destination(e1,e2)",7
1852,the three prints are a great example of a rare vintage photograph by an artist who had an influence on later 20th century photographers,11,14,"Product-Producer(e1,e2)",3
1853,the water was in a cup,1,5,"Content-Container(e1,e2)",17
1854,thankfully the plump of wildfowls brought about the destrcution of the wild cats and that ended the whole fiasco,2,4,"Member-Collection(e2,e1)",16
1855,but the result was derived from a small number of actual hiv cases,2,12,"Entity-Origin(e1,e2)",13
1856,the plasma was generated by an rf discharge between two parallel electrodes whose diameter was 100 mm and separation was 40 mm using pure silane gas,1,7,Other,0
1857,the european commission has released a set of slides explaining nanotechnology,8,10,"Message-Topic(e1,e2)",1
1858,"with these two tools , the dataset was reduced from its original size of over 200 features into 17",6,12,Other,0
1859,"as for the main attraction the pnuematic function allowing the crane arm to be raised and lowered , well , it 's a simple job made a little more complex",11,12,"Component-Whole(e2,e1)",12
1860,old nests are used year after year by the carpenter bee,9,10,Other,0
1861,the surfer is dropped into a 35 foot wave at waimea bay,1,7,"Entity-Destination(e1,e2)",7
1862,the health professional uses a lamp during the test,2,5,"Instrument-Agency(e2,e1)",6
1863,the world is governed by mathematical laws,1,6,Other,0
1864,the hive entrances were oriented in different directions and painted with different colors to reduce colony drift of foraging bees,16,19,"Member-Collection(e2,e1)",16
1865,ruling is in ink and was generally done by the scribe who wrote the quire,10,14,"Product-Producer(e2,e1)",4
1866,the broker is entitled to commission from the selling of your property,5,8,"Cause-Effect(e2,e1)",10
1867,"the agenda 21 document , agreed in rio , includes a section on international co operation",3,11,"Component-Whole(e2,e1)",12
1868,the dulche de leche ice cream was the best part of this dessert it was creamy and not too sweet as i usually find this flavor,5,12,"Component-Whole(e1,e2)",11
1869,"the crater of the vulcano solfatara shows a great variety of botanica species , varying greatly from each other due to climatic and pedologic reasons",1,4,"Component-Whole(e1,e2)",11
1870,the suspect pushed the victim into a deep cliff,4,8,"Entity-Destination(e1,e2)",7
1871,"in the first year of king cyrus , the king issued a decree",9,12,"Product-Producer(e2,e1)",4
1872,the judgment was reported in local newspapers on saturday,1,6,"Message-Topic(e2,e1)",2
1873,glaucoma is a group of neurodegenerative disorders characterized by the death of retinal ganglion cells and by a specific deformation of the optic nerve,0,6,Other,0
1874,the president of this society is responsible for presiding over all meetings \( both general and executive \),1,4,"Member-Collection(e1,e2)",15
1875,parental pressures of unemployment and poverty lead to drug abuse and alcoholism or stress and depression which have a profound effect on children,3,11,"Cause-Effect(e1,e2)",9
1876,japan injected funds into struggling companies,2,5,"Entity-Destination(e1,e2)",7
1877,"inside the car , keys were found in the ignition and codario ferrino 's license was discovered inside a purse on the passenger 's seat",4,9,Other,0
1878,scattered among this streak of celtic tigers are billions of euro loaned by anglo irish bank over the past decade in a calculated play for lucrative returns,3,6,"Member-Collection(e2,e1)",16
1879,there is a gulp of cormorants that scavenge this stretch of the sacramento river where i usually kayak,3,5,"Member-Collection(e2,e1)",16
1880,he has always waited patiently in the studio until his master 's voice signals that it was time to go home,10,12,"Component-Whole(e2,e1)",12
1881,the ship left from the port of bremen with 434 passengers,1,5,"Entity-Origin(e1,e2)",13
1882,a debtor gets liens released on personal household possessions for much less than the underlying debt on those secured possessions with redemption,1,21,"Instrument-Agency(e2,e1)",6
1883,the balls were dropped into the mud from a height of about 5 metres,1,6,"Entity-Destination(e1,e2)",7
1884,ste oil company has all your white mineral oil needs covered,7,8,"Entity-Origin(e2,e1)",14
1885,what happens is that the system builds many inferior blood vessels in the eye to take the place of the vessels that are dying,5,10,"Product-Producer(e2,e1)",4
1886,"the stage was in the cellar , and all the lights in the shop were out groans rose from a trap door",10,13,"Component-Whole(e1,e2)",11
1887,the mason has completed a concrete wall that creates a bathroom and storage area adjacent to a preschool classroom,1,6,"Product-Producer(e2,e1)",4
1888,dartmouth nearly narrowed the gap to one goal when a slapshot popped out of the glove of princeton goalie zane kalemba '10,10,15,"Entity-Origin(e1,e2)",13
1889,the magnetic field is generated by an electric current circulating in the star 's interior,1,8,"Cause-Effect(e2,e1)",10
1890,it 's funny my friend just used agave nectar in his margaritas,7,8,"Entity-Origin(e2,e1)",14
1891,this research aimed to select and validate a battery of outcome measures of recovery after lower limb burn injury \( llbi \),8,11,"Member-Collection(e2,e1)",16
1892,the species makes a squelching noise,1,5,"Cause-Effect(e1,e2)",9
1893,tax cuts for rich are thrown into doubt,0,7,Other,0
1894,it is part of a furniture line conceived for anthropologie by british interior designers,6,13,Other,0
1895,this book supplies us with a good deal of material for his biography,1,9,"Message-Topic(e1,e2)",1
1896,the second discourse concerned the role of democracy in the new republic,2,5,"Message-Topic(e1,e2)",1
1897,"the political unity of the iroquois was the source of their power , but it was by no means perfect",2,11,"Cause-Effect(e1,e2)",9
1898,"most of birdtown 's earliest residents hailed from eastern european countries , including slovakia , ukraine , czech republic , poland and carpatho rusyn",5,10,"Entity-Origin(e1,e2)",13
1899,these are the least expensive scissors produced by this manufacturer and are available for less than 6 00 per pair,5,9,"Product-Producer(e1,e2)",3
1900,south bade residents have been blown back into primitive lifestyle,2,9,Other,0
1901,"in fact , a protocol copes even with byzantine failures by using randomization",4,12,"Instrument-Agency(e2,e1)",6
1902,the website cited notes made by an investigator from the los angeles county coroner 's office as the source of the information,3,7,"Product-Producer(e1,e2)",3
1903,"also on display are weapons made by inmates including a zip gun , shanks , two sawed off shotguns , as well as other items such as masks and an alcohol still",7,17,"Product-Producer(e2,e1)",4
1904,i made the carpet by cutting a knitting wool into short strips,3,11,"Component-Whole(e1,e2)",11
1905,here are the news reports and photographs of the devastations caused by the storm,9,13,"Cause-Effect(e2,e1)",10
1906,this technique has been clearly explained in a previous issue of this magazine,1,9,"Message-Topic(e2,e1)",2
1907,control is a process that employs a set of procedures to ensure that defined quality standards are met on a consistent basis,3,9,"Instrument-Agency(e2,e1)",6
1908,several chapters of the book are devoted to the relationships between ethics and justice,1,9,"Message-Topic(e1,e2)",1
1909,"the steel z shaped stent was made with a steel guide wire \( 0 2 mm in diameter \) , covered with the vascular graft , and fixed to the graft wall with multiple interrupted sutures",3,10,"Component-Whole(e2,e1)",12
1910,literary critics have examined many themes in the novel,5,8,"Message-Topic(e2,e1)",2
1911,"crime fiction is a typically 19th and 20th century genre , dominated by british and american writers",0,1,"Message-Topic(e2,e1)",2
1912,a sample was sealed in a polyethylene bag and irradiated together with cobalt as a neutron flux determinant,1,6,"Content-Container(e1,e2)",17
1913,the neonatal heel prick is a common procedure for taking a blood sample from the heel of newborn infants,15,18,"Component-Whole(e1,e2)",11
1914,"next up is the fingerprint scanner , the scanner was cleaned by the ukps operator with a cloth",14,17,"Instrument-Agency(e2,e1)",6
1915,today 's curious thinkers are keeping ben 's traditions alive by inventing new and improved ways to make things work,3,15,Other,0
1916,the editor improved the manuscript with his changes,1,7,"Product-Producer(e2,e1)",4
1917,the movement of the flag on the surface of the moon was caused by the vaccum,1,15,"Cause-Effect(e2,e1)",10
1918,jacks are spreading into areas formerly occupied by white tails in colorado,0,4,"Entity-Destination(e1,e2)",7
1919,the hollow bar mounting the cameras encloses a wiring harness between the cameras,2,9,Other,0
1920,blade is accepted into the inner circle of hardened criminals who run things inside the prison and is offered a job on his release,6,9,"Member-Collection(e2,e1)",16
1921,"though calder had gone to paris to paint , he began creating figures and animals from wire and wood , gradually building up an entire circus of trapeze artists , clowns and trained animals",25,28,"Member-Collection(e2,e1)",16
1922,"propionibacteria acnes , or p acnes , are the bacteria responsible for acne breakouts",9,13,"Cause-Effect(e1,e2)",9
1923,"among the hittites there was only one queen consort , but the king had a harem of wives \( free women \) and of slave concubines also",15,17,"Member-Collection(e2,e1)",16
1924,our microwave has a turn able turntable inside and dial able knobs outside,1,5,"Component-Whole(e2,e1)",12
1925,"felt dots are embroidered on the front and sleeves of this sweater , adding an extra dimension of fun",8,11,"Component-Whole(e1,e2)",11
1926,"in the story a mob surrounds a woman to stone her for adultery , and ask jesus what they should do",2,4,"Message-Topic(e1,e2)",1
1927,the summer he was thirteen he organized the neighboring farmer boys into a troop of scouts,13,15,"Member-Collection(e2,e1)",16
1928,"like all new towns we have missed the encouraging influence of a large body of alumni , only two of the thirty five former graduates having entered college",12,14,"Member-Collection(e2,e1)",16
1929,the depression chamber contains a diaphragm under pressure from a diaphragm spring,2,5,"Component-Whole(e2,e1)",12
1930,"in the poem , an albatross starts to follow a ship being followed by an albatross was generally considered an omen of good luck",2,5,Other,0
1931,the fortress had the only gate from the southwest,1,5,"Component-Whole(e2,e1)",12
1932,the dissertations reported on a research project of some kind,1,5,"Message-Topic(e1,e2)",1
1933,body piercing jewellery specially for lobe ear piercings,5,6,"Component-Whole(e1,e2)",11
1934,the stone ginger beer has a ginger 'bite ' without the 'ginger burn ' of more peppery jamaican ginger beers,2,3,"Entity-Origin(e2,e1)",14
1935,oil extraction in the amazon has already caused the extinction of the tetete and zaparo nationalities and continues to threaten indigenous peoples,1,9,"Cause-Effect(e1,e2)",9
1936,"for the original stud farm , desirous of producing the best horses for the dragoons and hussars , the lighter horse of a square frame was the ideal",11,14,"Instrument-Agency(e1,e2)",5
1937,"listeners receive wbai live over the internet \( referred to as `` streaming '' \) , using one of the various audio formats below",0,6,"Instrument-Agency(e2,e1)",6
1938,the 100 mhz rf signal for the amplitude modulator was derived from a pulse pattern generator \( ppg \),4,15,"Cause-Effect(e2,e1)",10
1939,even travel agents are turning to telepresence for clients,1,6,"Instrument-Agency(e2,e1)",6
1940,the temperature distributions in a vial during freeze drying of a skim milk solution were determined experimentally,2,5,Other,0
1941,"the first seismic arrival from an earthquake is the p wave , which is usually relatively low amplitude",2,6,"Cause-Effect(e2,e1)",10
1942,i sent you a suitcase with cash in it so you can fill it up with wine gummies,4,6,"Content-Container(e2,e1)",18
1943,the media then creates a self fulfilling prophesy with constant reports of doom and gloom and individuals also pull their money out of the targeted bank,1,10,"Product-Producer(e2,e1)",4
1944,google groups were sending commands to malware,4,6,"Entity-Destination(e1,e2)",7
1945,also missing was a 38 caliber smith wesson gun that was in a suitcase in the tractor,9,14,"Content-Container(e1,e2)",17
1946,"these centres , along with appropriate educational and psychosocial interventions , helped children overcome the trauma and stress caused by the earthquake",15,21,"Cause-Effect(e2,e1)",10
1947,but my local bellowing of bullfinches prefer natural food,3,5,"Member-Collection(e2,e1)",16
1948,american skiier lindsey vonn denied downhill treble as fog caused cancellation in val d'isere,8,10,"Cause-Effect(e1,e2)",9
1949,through the night the stern continued to settle as the cruiser listed to port,4,10,"Component-Whole(e1,e2)",11
1950,this technique efficiently inserted genes into hematopoietic stem cells,4,7,"Entity-Destination(e1,e2)",7
1951,"the device was contained in a small jiffy bag with a white label , with a post mark that was `` not local ''",1,7,"Content-Container(e1,e2)",17
1952,illinois race for lieutenant governor attracts a crowd of candidates,7,9,"Member-Collection(e2,e1)",16
1953,the opposing party hid the anvil with a view to important consequences,2,8,Other,0
1954,a critical habitat for beluga whales in upper cook inlet has been created by the federal government,2,16,"Product-Producer(e1,e2)",3
1955,the crew had dug a trench for her to walk in so that she would not dwarf the star,1,5,"Product-Producer(e2,e1)",4
1956,"he came back 15 minutes later with a bottle , with three lizards in it",8,12,"Content-Container(e2,e1)",18
1957,mark also spoke about post september 11 civil rights and civil liberties issues facing immigrants,11,13,Other,0
1958,"the explorer journeyed into the arctic region of the himalayas , determined to find a copy of the himis manuscript or to expose the fraud",1,6,"Entity-Destination(e1,e2)",7
1959,the judge directed the court to decide the preliminary issue raised by the petitioner,4,13,Other,0
1960,the nmb maintains a panel of neutral referees for service on these and certain other boards,4,7,"Member-Collection(e2,e1)",16
1961,he grabed one end of the broom stick as they grab the other end,6,7,"Component-Whole(e2,e1)",12
1962,"in law , a bill of particulars is a list of written statements made by a party to a court proceeding , upon demand of another party , that sets forth details of a claim or defense",4,6,"Member-Collection(e2,e1)",16
1963,my pug has little bumps under his chin,1,7,"Component-Whole(e2,e1)",12
1964,it has been assumed that the quench starts at the middle cross section of the magnet,6,11,Other,0
1965,"in the fall of 2003 , a hidden camera equipped journalist from germany 's ard television infiltrated the saudi built king fahd academy in bonn and taped what it taught to young muslim children",9,14,"Entity-Origin(e1,e2)",13
1966,ice cream was made by hand in a large bowl placed inside a tub filled with ice and salt,1,5,Other,0
1967,"ruins from 800 , 000 years ago discovered in israel show that stone age ancestors had began to organize their open air living spaces into separate clusters for different activities such as cooking and stone manufacturing",0,3,"Entity-Origin(e1,e2)",13
1968,"the user is cooling a processor with a power usage of 35w , using a conventional heatsink",1,9,Other,0
1969,the hotel released effluent into the lake,3,6,"Entity-Destination(e1,e2)",7
1970,they include sending e mails to remind customers about abandoned items,3,8,"Message-Topic(e1,e2)",1
1971,the tsunami resulted in significant property damage but only two fatalities in rs,1,6,"Cause-Effect(e1,e2)",9
1972,"as we were leaving the house , we found a suitcase with three or four jordanian passports in it , clothes , and hygiene gear",10,16,"Content-Container(e2,e1)",18
1973,the president has made taxes and spending the big issues again,1,4,Other,0
1974,the student creates compositional forms using a sequencer or notation program,1,10,"Instrument-Agency(e2,e1)",6
1975,i have placed a new memory card directly into my mobile phone,5,11,"Entity-Destination(e1,e2)",7
1976,certain cricketers have been eluded from their team on accounts of injury,1,7,"Entity-Origin(e1,e2)",13
1977,the frozen spread was found in a sack in a former pony stable nearly a century after captain robert scott 's mission to the south pole,2,7,"Content-Container(e1,e2)",17
1978,the speeches were on the subject of the relationship between institutional and poetic violence,1,8,"Message-Topic(e1,e2)",1
1979,"little did these naive people realize at the time that they were embracing a foul brood of ungrateful vipers , which would soon prove to be their undoing",15,18,"Member-Collection(e2,e1)",16
1980,here is one of the craters created by the meteorite morasko,5,9,"Product-Producer(e1,e2)",3
1981,a stent was inserted into the patient 's artery in 55 minutes,1,8,"Entity-Destination(e1,e2)",7
1982,the publication has connection to an international research project,1,8,"Message-Topic(e1,e2)",1
1983,"by the end of the work day , the anger was radiating from the city",9,14,"Cause-Effect(e2,e1)",10
1984,"the farm comprises 80 turbines and generates 160 megawatts , nearly 2 of denmark 's total electricity consumption",1,4,"Component-Whole(e2,e1)",12
1985,the power indicator of the transmitter and headphone then went off,2,5,"Component-Whole(e1,e2)",11
1986,the big barn farm friends discover a pile of junk,7,9,Other,0
1987,"in view of the terrible destruction that was caused by the flood waves , we have to fear that a number of germans , clearly in the three digit numbers , will be among the dead",5,12,"Cause-Effect(e2,e1)",10
1988,the conclusion chapter is cautious and organised around the six themes of the book,2,10,"Message-Topic(e1,e2)",1
1989,he also had access to a sounder of fat pigs upon which the humans feasted upon in celebration of the newly expanded farmland,6,9,"Member-Collection(e2,e1)",16
1990,the appellant noticed that the switch of the circuit breaker which feeds 440 volts a c power to the main switchboard in the engine,19,22,"Component-Whole(e1,e2)",11
1991,wave crests are blown into the froth,0,6,"Entity-Destination(e1,e2)",7
1992,"this workshop analyzes credit risk factors and how these risk factors can be measured , controlled , and reduced in financial institutions",1,5,"Message-Topic(e1,e2)",1
1993,these are some of the many ways in which hitler and the nazi party used propaganda in order to brainwash and manipulate people into thinking that the nazi party was a good party to be in,13,15,"Instrument-Agency(e2,e1)",6
1994,"harriers are large , slender hawk like birds with long tails and long , thin legs",6,9,"Component-Whole(e2,e1)",12
1995,this is wishful thinking by a scribe who is more blind to the reality than those he accuses of blindness,3,6,Other,0
1996,i am just joining the queue of disappointed parents and upset children as i bought a marshmallow maker and toffee apple maker,16,17,"Product-Producer(e1,e2)",3
1997,chris caisley remains the head of the team and sources were keen to pinpoint his previous experience as chairman of the bradford bulls rugby league club,4,7,"Member-Collection(e1,e2)",15
1998,public education systems have carried nations into prosperity,5,7,Other,0
1999,the nitric oxide was contained in a large gold plated cylinder in which it was ionized by krypton resonance radiation,1,8,"Content-Container(e1,e2)",17
2000,making and fitting horseshoes was only part of the life of a blacksmith,3,12,Other,0
2001,it 's hell in the hospitals where the amputees 's screaming after the lapse of morphine is heard all the time,10,13,"Cause-Effect(e2,e1)",10
2002,"williams , who is regarded as `` the first among equals '' within the communion of leaders that represent 160 countries and some 75 million anglicans worldwide , has sought to find a delicate balance within the deeply divided group of primates",14,16,"Member-Collection(e2,e1)",16
2003,"since the ultimate purpose of the company is that of sales , the sales department is rightly recognized as one of the major departments of the business",14,26,"Component-Whole(e1,e2)",11
2004,the sergeant got out from the police car,1,7,"Entity-Origin(e1,e2)",13
2005,scientists discovered that these drugs were related to heart valve disease,4,10,"Cause-Effect(e1,e2)",9
2006,"in the book , the main female character is a woman named messua who adopts mowgli",2,7,"Message-Topic(e2,e1)",2
2007,guinea unions threaten junta with walkout,1,5,"Instrument-Agency(e2,e1)",6
2008,beeswax is a natural wax produced in the bee hive of honey bees of the genus apis,9,12,Other,0
2009,"bevilona , pretending astonished fear , hides the frightened peasant in a cask",9,12,"Entity-Destination(e1,e2)",7
2010,"typically , varieties of this sort were grown on flat land by peasants",2,12,Other,0
2011,"however , some person had broken the padlock of the chain across the road",7,10,"Component-Whole(e1,e2)",11
2012,"in other words , the bow of the vessel points at the 'windy ' extended edge of the table",5,8,"Component-Whole(e1,e2)",11
2013,"i liked how his d cells were in a box behind the counter , with no prices on them , as if they were contraband or moonshine",5,9,"Content-Container(e1,e2)",17
2014,the pepper is added to the salad before serving,1,6,"Entity-Destination(e1,e2)",7
2015,the criminals that caused the fire illegally entered our country,1,5,"Cause-Effect(e1,e2)",9
2016,these views were reflected in his building designs,1,7,Other,0
2017,a basket such as you mention holds four ears of corn,1,8,"Content-Container(e2,e1)",18
2018,eucharist is the source of the church 's mission,0,8,"Entity-Origin(e2,e1)",14
2019,"it 's fairly rare that i follow an exact recipe from a magazine , but every once in a while a photo calls to me",9,12,"Entity-Origin(e1,e2)",13
2020,"we removed some living branches and new growth , thus maximizing light penetration and air flow through the crown of the tree",18,21,"Component-Whole(e1,e2)",11
2021,"then , certain texts do talk about english society of various ages",8,11,Other,0
2022,a pack of the most popular cigarettes in the seychelles in 2008 cost 15 at purchasing power parity \( ppp \),1,6,"Content-Container(e2,e1)",18
2023,sufficient coagulation deficient fluids were given to surgical patients,2,7,"Entity-Destination(e1,e2)",7
2024,"this website , www fertilityuk org , shows how to interpret the changes that take place in the mucus secretions produced by the cells lining the cervix",17,21,"Product-Producer(e1,e2)",3
2025,the iron tablets were in a box on the floor,2,6,"Content-Container(e1,e2)",17
2026,the next shot shows only a suitcase with neatly folder clothes in it on the bed,6,10,"Content-Container(e2,e1)",18
2027,"a cable or rode is the rope , chain , or combination thereof used to connect the anchor to the vessel",17,20,"Component-Whole(e1,e2)",11
2028,"the warm version of leek and potato soup was handed down to him by his mother , annette diat",6,7,"Entity-Origin(e2,e1)",14
2029,her naked and decomposing body was discovered inside a locked cupboard in an auckland building,4,10,"Content-Container(e1,e2)",17
2030,the banko kilns were founded by the potter nunami ro zan \( 1718 77 \) who often imitated the work of kenzan \( 1663 1743 \),2,7,"Product-Producer(e1,e2)",3
2031,"to create a good seal , manufacturers put a foam or gel filled seal between the ear cup and your head",15,16,Other,0
2032,"by foot on the trail , or by canoe on the river , our campers have journeyed into some spectacular wilderness",14,20,"Entity-Destination(e1,e2)",7
2033,the research team is moving into a deeper cave to explore,2,8,"Entity-Destination(e1,e2)",7
2034,"the electron beam arrives from the left side , is collimated by 1cm thick copper and traverses the light tight sensor box",2,7,"Entity-Origin(e1,e2)",13
2035,"real working cowboys , who are hired to take a drove of cattle to market , have a very difficult and strenuous job",10,12,"Member-Collection(e2,e1)",16
2036,a file photo shows a microlight pilot flying with geese,6,9,Other,0
2037,it was a cloud of shrieking black bats that was attacking them,3,7,"Member-Collection(e2,e1)",16
2038,the initiative was outlined in a speech delivered by saudi crown prince abdullah on wednesday,1,6,"Message-Topic(e2,e1)",2
2039,the teacher retirement poem on parchment is a customized poem printed on parchment and enclosed in a black certificate holder,9,18,"Content-Container(e1,e2)",17
2040,"a letter penned by george washington praising the new constitution sold for 3 2 million at an auction , the highest price for a letter by america 's first president",24,29,"Product-Producer(e1,e2)",3
2041,he poured his passion into his lover,3,6,"Entity-Destination(e1,e2)",7
2042,their deed of agreement was drawn up in the temple by a notary public and confirmed with an oath `` by god and the king '',1,13,Other,0
2043,and the chorus of teenage boys and girls were a pleasure to watch as they sang and danced,2,5,"Member-Collection(e2,e1)",16
2044,"for 25 years , christmas in new bern has included a flotilla of decorated boats gliding along the confluence of the neuse and trent rivers at union point park",11,14,"Member-Collection(e2,e1)",16
2045,"taking a stick of dynamite from their mule , the shooter assembles the hand charge with two caps and fuses which is now considered live",10,16,"Instrument-Agency(e2,e1)",6
2046,a man is facing charges after police pulled him from a tank under a women 's toilet that was filled with human waste,16,22,"Content-Container(e2,e1)",18
2047,"a jack knifed lorry caused delays on the a27 eastbound between havant , hampshire , and chichester , west sussex",2,4,"Cause-Effect(e1,e2)",9
2048,"viruses that cause respiratory illness typically are capable of causing a range of clinical manifestations , and asymptomatic infections are possible",0,4,"Cause-Effect(e1,e2)",9
2049,"nutritious chocolate is made of cocoa paste , cocoa butter , and sugar",1,5,"Entity-Origin(e1,e2)",13
2050,the list highlighted the best new music talent for the new year,1,7,"Message-Topic(e1,e2)",1
2051,they cremated their dead and placed the ashes in a specially prepared pit,7,12,"Entity-Destination(e1,e2)",7
2052,the door locks with a sliding bar hidden in the carved piece across the center of the door,1,6,"Component-Whole(e2,e1)",12
2053,officials got a warning from the victim 's son his 87 year old father was a `` hoarder '' and the house was full of items,20,24,"Content-Container(e2,e1)",18
2054,the door on the right enclosed a fumigating chamber,1,8,"Component-Whole(e1,e2)",11
2055,i found the secret passages inside the monastery,4,7,"Component-Whole(e1,e2)",11
2056,the drama unfolded even after some of the stars had left the course,8,12,"Entity-Origin(e1,e2)",13
2057,their whole future is being thrown into disarray,2,7,Other,0
2058,the announced plans absolutely take into account the needs of disabled people,2,8,"Message-Topic(e1,e2)",1
2059,the newly inaugurated president has delivered speeches to the public,6,9,"Entity-Destination(e1,e2)",7
2060,the inherent rna silencing mechanism in plants has been effectively manipulated as a tool for the targeted down regulation of genes,4,17,Other,0
2061,"the neighbor , who owns a raisin factory , wanted the property to expand his business",6,7,"Product-Producer(e1,e2)",3
2062,"his wife , a successful corporate lawyer , has given up work",1,11,Other,0
2063,the board meeting is rescheduled to next month,2,6,"Entity-Destination(e1,e2)",7
2064,"the craftsman bought his own iron , finished his hinge ls , packed them , and conveyed them to the warehouse of the factor in the large town",1,5,"Instrument-Agency(e2,e1)",6
2065,three lines are missing from the end of this stanza the hermit demonstrates his prowess with the bow,12,18,"Instrument-Agency(e2,e1)",6
2066,old pickups and suvs were stacked up in clunker piles by dealers,9,11,"Product-Producer(e1,e2)",3
2067,"in this method , multiword concepts are treated as single words",4,9,Other,0
2068,"he made his way inside , where the jewelry was locked in a safe for the night",8,13,"Content-Container(e1,e2)",17
2069,"franken 's uncle , who was in the russian army , liberated auschwitz with barry 's uncle",2,16,Other,0
2070,the free states of alaska is a loose confederation of various species of bears in the far northern lands and outlands of megatexas,8,11,"Member-Collection(e2,e1)",16
2071,"92 of the co2 emissions are caused by the lorries , but this is not fair so a different distribution method is needed",5,10,"Cause-Effect(e2,e1)",10
2072,gol airlines started flights to middle eastern countries,3,7,"Entity-Destination(e1,e2)",7
2073,each independent variable is moving into its axis constantly,2,7,"Entity-Destination(e1,e2)",7
2074,two children playing in a queens park have found a suitcase with bones in it,10,12,"Content-Container(e2,e1)",18
2075,the `` intihuatana '' \( in quechua place where the sun is bonded \) is a solar observatory that allowed the incas to keep track of the seasons of the year and the flow of time based on the shadows caused by the sun over the stone,40,44,"Product-Producer(e2,e1)",4
2076,"widely previously interpreted as precursory activity to the 1906 earthquake , they have been found to have a strong seasonal pattern and have been postulated to be due to large seasonal sediment loads in coastal bays that overlie faults as a result of the erosion caused by hydraulic mining in the later years of the california gold rush",44,47,"Cause-Effect(e2,e1)",10
